This data was produced from the i-Tree Planting Calculator version 1.1.3 for Claremont, CA.


"Group Identifier","Tree Group Characteristics","CO2 Avoided (pounds)","CO2 Avoided ($)","CO2 Sequestered (pounds)","CO2 Sequestered ($)","Electricity Saved (kWh)","Electricity Saved ($)","Fuel Saved (MMBtu)","Fuel Saved ($)","Tree Biomass (short ton)","Rainfall Interception (gallons)","Stormwater Managed (gallons)","Stormwater Managed ($)","O3 Removed (pounds)","NO2 Avoided (pounds)","NO2 Removed (pounds)","SO2 Avoided (pounds)","SO2 Removed (pounds)","VOC Avoided (pounds)","PM2.5                                                     Avoided (pounds)","PM2.5                                                      Removed (pounds)"
"53","(1) Ginkgo (Ginkgo biloba)  at 1.5 inches DBH.Planted 0-19 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","760.4","$13.45","882.4","$15.61","780.4","$120.61","2.5","$28.18","0.2","5,489.0","1,498.6","$13.39","10.9","0.1","2.6","0.2","0.8","0.4","0.3","0.2"
"54","(1) Ginkgo (Ginkgo biloba)  at 1.5 inches DBH.Planted 40-59 feet and northeast (45°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","797.1","$14.10","882.4","$15.61","790.2","$122.12","2.7","$31.23","0.2","5,489.0","1,498.6","$13.39","10.9","0.1","2.6","0.2","0.8","0.4","0.3","0.2"
"55","(1) Ginkgo (Ginkgo biloba)  at 1.5 inches DBH.Planted 20-39 feet and east (90°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","-217.7","$-3.85","882.4","$15.61","1,046.8","$161.76","-7.5","$-85.06","0.2","5,489.0","1,498.6","$13.39","10.9","-0.0","2.6","-0.1","0.8","0.5","0.3","0.2"
"56","(1) Ginkgo (Ginkgo biloba)  at 1.5 inches DBH.Planted 20-39 feet and east (90°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","-217.7","$-3.85","882.4","$15.61","1,046.8","$161.76","-7.5","$-85.06","0.2","5,489.0","1,498.6","$13.39","10.9","-0.0","2.6","-0.1","0.8","0.5","0.3","0.2"
"57","(1) Ginkgo (Ginkgo biloba)  at 1.5 inches DBH.Planted 40-59 feet and west (270°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","138.2","$2.44","882.4","$15.61","1,057.1","$163.35","-4.4","$-50.36","0.2","5,489.0","1,498.6","$13.39","10.9","0.0","2.6","0.0","0.8","0.5","0.3","0.2"
"58","(1) Box, Brisbane (Tristaniopsis conferta)  at 1.5 inches DBH.Planted 20-39 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","1,062.3","$18.79","6,954.0","$123.02","1,058.3","$163.55","3.6","$41.31","1.6","5,153.1","1,406.9","$12.57","12.8","0.1","3.1","0.3","0.9","0.5","0.3","0.3"
"59","(1) Oak, Northern red (Quercus rubra)  at 1.5 inches DBH.Planted 20-39 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","1,431.9","$25.33","6,430.9","$113.76","1,428.7","$220.79","4.9","$55.55","1.4","10,722.8","2,927.5","$26.16","22.1","0.1","5.2","0.4","1.5","0.7","0.5","0.4"
"60","(1) Box, Brisbane (Tristaniopsis conferta)  at 1.5 inches DBH.Planted 0-19 feet and west (270°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","240.8","$4.26","6,954.0","$123.02","2,292.9","$354.34","-10.1","$-115.09","1.6","5,153.1","1,406.9","$12.57","12.8","0.0","3.1","0.1","0.9","1.1","0.7","0.3"
"61","(1) Oak, Northern red (Quercus rubra)  at 1.5 inches DBH.Planted 40-59 feet and northwest (315°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","1,431.7","$25.33","6,430.9","$113.76","1,431.6","$221.24","4.9","$55.34","1.4","10,722.8","2,927.5","$26.16","22.1","0.1","5.2","0.4","1.5","0.7","0.5","0.4"
"62","(1) Oak, Northern red (Quercus rubra)  at 1.5 inches DBH.Planted 20-39 feet and south (180°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","-125.1","$-2.21","6,430.9","$113.76","2,069.6","$319.82","-12.1","$-137.87","1.4","10,722.8","2,927.5","$26.16","22.1","-0.0","5.2","-0.0","1.5","1.0","0.7","0.4"
"63","(1) Oak, Northern red (Quercus rubra)  at 1.5 inches DBH.Planted 40-59 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","1,446.4","$25.59","6,430.9","$113.76","1,431.7","$221.25","5.0","$56.80","1.4","10,722.8","2,927.5","$26.16","22.1","0.1","5.2","0.4","1.5","0.7","0.5","0.4"
"64","(1) Oak, Northern red (Quercus rubra)  at 1.5 inches DBH.Planted 0-19 feet and south (180°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","-456.5","$-8.08","6,430.9","$113.76","2,440.9","$377.20","-17.0","$-193.28","1.4","10,722.8","2,927.5","$26.16","22.1","-0.0","5.2","-0.1","1.5","1.1","0.8","0.4"
"65","(1) Acacia, Bailey (Acacia baileyana)  at 1.5 inches DBH.Planted 20-39 feet and north (0°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","545.2","$9.64","64.1","$1.13","491.5","$75.95","2.1","$24.33","0.0","2,700.9","737.4","$6.59","5.5","0.0","1.4","0.1","0.4","0.3","0.2","0.1"
"66","(1) Oak, Northern red (Quercus rubra)  at 1.5 inches DBH.Planted 20-39 feet and east (90°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","-149.9","$-2.65","6,430.9","$113.76","1,771.2","$273.71","-10.7","$-122.25","1.4","10,722.8","2,927.5","$26.16","22.1","-0.0","5.2","-0.0","1.5","0.8","0.6","0.4"
"67","(1) Box, Brisbane (Tristaniopsis conferta)  at 1.5 inches DBH.Planted 20-39 feet and east (90°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","-238.8","$-4.22","6,954.0","$123.02","1,370.8","$211.84","-9.4","$-106.80","1.6","5,153.1","1,406.9","$12.57","12.8","-0.0","3.1","-0.1","0.9","0.6","0.4","0.3"
"68","(1) Acacia, Bailey (Acacia baileyana)  at 1.5 inches DBH.Planted 40-59 feet and west (270°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","15.0","$0.27","64.1","$1.13","340.4","$52.60","-1.7","$-19.14","0.0","2,700.9","737.4","$6.59","5.5","0.0","1.4","0.0","0.4","0.2","0.1","0.1"
"69","(1) Gum, Lemon-scented (Eucalyptus citriodora)  at 1.5 inches DBH.Planted 40-59 feet and east (90°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","-99.0","$-1.75","27,676.7","$489.60","1,663.7","$257.10","-9.7","$-110.67","6.0","12,755.9","3,482.6","$31.12","30.0","-0.0","7.7","-0.0","2.1","0.8","0.5","0.9"
"70","(1) Gum, Lemon-scented (Eucalyptus citriodora)  at 1.5 inches DBH.Planted 40-59 feet and east (90°) of buildings that were built post-1980 with heat and A/C.Trees are in excellent condition and planted in full sun.","-99.0","$-1.75","27,676.7","$489.60","1,663.7","$257.10","-9.7","$-110.67","6.0","12,755.9","3,482.6","$31.12","30.0","-0.0","7.7","-0.0","2.1","0.8","0.5","0.9"
